0.1545	2.85E-16
0.1546	3.37E-16
0.1548	3.52E-16
0.155	3.72E-16
0.1551	3.06E-16
0.1553	2.96E-16
0.1555	2.97E-16
0.1556	2.8E-16
0.1558	3.02E-16
0.156	3.19E-16
0.1561	2.96E-16
0.1563	3.11E-16
0.1565	3.59E-16
0.1566	3.26E-16
0.1568	3.29E-16
0.157	3.04E-16
0.1571	3.31E-16
0.1573	3.17E-16
0.1575	3.39E-16
0.1576	3.16E-16
0.1578	3.39E-16
0.158	3.67E-16
0.1581	3.69E-16
0.1583	3.77E-16
0.1585	3.72E-16
0.1586	3.49E-16
0.1588	3.16E-16
0.159	3.67E-16
0.1591	3.16E-16
0.1593	3.41E-16
0.1595	3.51E-16
0.1596	3.77E-16
0.1598	3.84E-16
0.16	3.67E-16
0.1602	3.62E-16
0.1603	3.96E-16
0.1605	3.54E-16
0.1607	3.74E-16
0.1608	4.04E-16
0.161	4.11E-16
0.1612	3.82E-16
0.1613	4.16E-16
0.1615	3.66E-16
0.1617	3.89E-16
0.1618	4.31E-16
0.162	4.19E-16
0.1622	4.07E-16
0.1623	4.21E-16
0.1625	4.61E-16
0.1627	4.51E-16
0.1628	4.59E-16
0.163	4.41E-16
0.1632	4.37E-16
0.1633	4.37E-16
0.1635	4.69E-16
0.1637	4.74E-16
0.1638	5.06E-16
0.164	4.87E-16
0.1642	5.39E-16
0.1643	5.14E-16
0.1645	5.18E-16
0.1647	5.01E-16
0.1648	4.77E-16
0.165	4.81E-16
0.1652	4.99E-16
0.1653	4.98E-16
0.1655	4.93E-16
0.1657	5.24E-16
0.1659	5.16E-16
0.166	5.43E-16
0.1662	5.78E-16
0.1664	6.01E-16
0.1665	6.21E-16
0.1667	5.81E-16
0.1669	6.04E-16
0.167	5.66E-16
0.1672	5.98E-16
0.1674	6.18E-16
0.1675	6.71E-16
0.1677	7.11E-16
0.1679	7.18E-16
0.168	7.1E-16
0.1682	7.3E-16
0.1684	7.63E-16
0.1685	7.76E-16
0.1687	8.26E-16
0.1689	8.2E-16
0.169	8.33E-16
0.1692	9.22E-16
0.1694	1.01E-15
0.1695	1.11E-15
0.1697	1.27E-15
0.1699	1.38E-15
0.17	1.53E-15
0.1702	1.62E-15
0.1704	1.69E-15
0.1705	1.84E-15
0.1707	2.12E-15
0.1709	2.47E-15
0.171	2.47E-15
0.1712	2.4E-15
0.1714	2.65E-15
0.1716	3.01E-15
0.1717	3.27E-15
0.1719	3.04E-15
0.1721	2.35E-15
0.1722	2.44E-15
0.1724	2.42E-15
0.1726	2.8E-15
0.1727	3.37E-15
0.1729	3.57E-15
0.1731	3.49E-15
0.1732	3.34E-15
0.1734	3.26E-15
0.1736	3.06E-15
0.1737	2.94E-15
0.1739	3.19E-15
0.1741	3.32E-15
0.1742	3.36E-15
0.1744	3.54E-15
0.1746	3.57E-15
0.1747	3.87E-15
0.1749	4.09E-15
0.1751	4.21E-15
0.1752	4.41E-15
0.1754	4.64E-15
0.1756	4.44E-15
0.1757	4.64E-15
0.1759	4.16E-15
0.1761	3.97E-15
0.1762	4.11E-15
0.1764	3.61E-15
0.1766	3.96E-15
0.1767	4.39E-15
0.1769	4.61E-15
0.1771	4.89E-15
0.1773	5.13E-15
0.1774	5.08E-15
0.1776	5.66E-15
0.1778	5.61E-15
0.1779	5.99E-15
0.1781	5.69E-15
0.1783	5.33E-15
0.1784	4.99E-15
0.1786	5.34E-15
0.1788	5.53E-15
0.1789	5.71E-15
0.1791	6.41E-15
0.1793	5.33E-15
0.1794	5.76E-15
0.1796	5.63E-15
0.1798	5.36E-15
0.1799	5.64E-15
0.1801	5.84E-15
0.1803	5.38E-15
0.1804	5.16E-15
0.1806	4.87E-15
0.1808	4.42E-15
0.1809	4.76E-15
0.1811	5.63E-15
0.1813	5.51E-15
0.1814	5.54E-15
0.1816	6.14E-15
0.1818	6.23E-15
0.1819	6.19E-15
0.1821	7.13E-15
0.1823	6.71E-15
0.1824	5.83E-15
0.1826	5.69E-15
0.1828	6.06E-15
0.183	6.49E-15
0.1831	6.36E-15
0.1833	6.56E-15
0.1835	6.34E-15
0.1836	5.54E-15
0.1838	5.58E-15
0.184	5.78E-15
0.1841	5.29E-15
0.1843	5.21E-15
0.1845	4.87E-15
0.1846	4.44E-15
0.1848	4.17E-15
0.185	4.37E-15
0.1851	4.62E-15
0.1853	5.21E-15
0.1855	5.26E-15
0.1856	5.94E-15
0.1858	6.43E-15
0.186	5.94E-15
0.1861	6.88E-15
0.1863	6.54E-15
0.1865	7.23E-15
0.1866	7.98E-15
0.1868	8.28E-15
0.187	8.03E-15
0.1871	7.38E-15
0.1873	7.18E-15
0.1875	7.08E-15
0.1876	7.35E-15
0.1878	8.15E-15
0.188	8.18E-15
0.1881	8.6E-15
0.1883	8.92E-15
0.1885	8.46E-15
0.1887	8.38E-15
0.1888	7.96E-15
0.189	8.45E-15
0.1892	8.5E-15
0.1893	8.45E-15
0.1895	8.51E-15
0.1897	8.33E-15
0.1898	7.68E-15
0.19	7.33E-15
0.1902	7.53E-15
0.1903	8.23E-15
0.1905	8.1E-15
0.1907	7.86E-15
0.1908	8.16E-15
0.191	8.48E-15
0.1912	8.38E-15
0.1913	8.15E-15
0.1915	8.85E-15
0.1917	9.4E-15
0.1918	8.92E-15
0.192	9.18E-15
0.1922	9.42E-15
0.1923	8.01E-15
0.1925	7.65E-15
0.1927	7.16E-15
0.1928	6.01E-15
0.193	5.28E-15
0.1932	4.81E-15
0.1933	5.29E-15
0.1935	5.83E-15
0.1937	6.71E-15
0.1938	7.51E-15
0.194	8.73E-15
0.1942	8.6E-15
0.1944	9.07E-15
0.1945	9.38E-15
0.1947	8.92E-15
0.1949	9.43E-15
0.195	9.52E-15
0.1952	9.17E-15
0.1954	9.77E-15
0.1955	9.62E-15
0.1957	9.18E-15
0.1959	8.7E-15
0.196	8.66E-15
0.1962	9.02E-15
0.1964	8.75E-15
0.1965	8.73E-15
0.1967	9.17E-15
0.1969	9.12E-15
0.197	9.13E-15
0.1972	8.5E-15
0.1974	8.06E-15
0.1975	8.98E-15
0.1977	9.35E-15
0.1979	9.33E-15
0.198	9.29E-15
0.1982	1.24E-14
0.1985	1.02E-14
0.1988	1.03E-14
0.199	9.95E-15
0.1993	9.98E-15
0.1996	1.04E-14
0.1998	1.01E-14
0.2001	1.07E-14
0.2004	1E-14
0.2006	1.19E-14
0.2009	1.06E-14
0.2012	1.02E-14
0.2014	1.34E-14
0.2017	1.13E-14
0.202	1.21E-14
0.2022	1.2E-14
0.2025	1.17E-14
0.2028	1.15E-14
0.203	1.29E-14
0.2033	1.21E-14
0.2036	1.31E-14
0.2038	1.31E-14
0.2041	1.31E-14
0.2044	1.53E-14
0.2046	1.66E-14
0.2049	1.53E-14
0.2052	1.56E-14
0.2054	1.55E-14
0.2057	1.43E-14
0.206	1.53E-14
0.2062	1.28E-14
0.2065	1.56E-14
0.2068	1.5E-14
0.207	1.67E-14
0.2073	1.72E-14
0.2076	1.99E-14
0.2078	2.05E-14
0.2081	2.06E-14
0.2084	1.79E-14
0.2086	1.81E-14
0.2089	1.88E-14
0.2092	1.68E-14
0.2094	1.8E-14
0.2097	1.82E-14
0.21	1.71E-14
0.2102	1.84E-14
0.2105	1.7E-14
0.2108	1.74E-14
0.211	1.17E-14
0.2113	1.62E-14
0.2116	1.82E-14
